idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2024-06-10/2024-06-16,25.7,13.0,51.300000000000004,17.0,126.1
5707,2024-06-17/2024-06-23,29.2,15.1,23.5,19.6,167.1
5707,2024-06-24/2024-06-30,29.8,14.9,64.8,17.4,157.2
5707,2024-07-01/2024-07-07,26.9,13.9,74.1,18.4,158.1
5707,2024-07-08/2024-07-14,30.9,17.2,49.8,11.0,205.8
5707,2024-07-15/2024-07-21,30.5,18.2,5.5,13.5,183.2
5707,2024-07-22/2024-07-28,32.7,19.0,5.0,18.5,190.0
5707,2024-07-29/2024-08-04,32.6,20.3,8.6,16.6,194.5
5707,2024-08-05/2024-08-11,33.7,18.3,13.7,11.9,185.8
5707,2024-08-12/2024-08-18,33.6,19.4,30.5,24.0,175.8
5707,2024-08-19/2024-08-25,31.1,20.0,2.0,18.8,149.7
5707,2024-08-26/2024-09-01,31.8,18.0,18.5,22.8,192.3
5707,2024-09-02/2024-09-08,28.2,17.1,128.5,17.7,138.3
5707,2024-09-09/2024-09-15,27.2,11.5,32.599999999999994,33.3,115.3
5707,2024-09-16/2024-09-22,22.8,10.0,5.2,22.7,119.2
5707,2024-09-23/2024-09-29,23.3,11.1,27.5,26.3,92.2
5707,2024-09-30/2024-10-06,19.4,7.9,44.800000000000004,14.0,92.0
5707,2024-10-07/2024-10-13,20.2,9.7,86.2,20.1,71.2
5707,2024-10-14/2024-10-20,20.2,10.3,83.0,19.5,58.7
5707,2024-10-21/2024-10-27,21.1,12.0,41.0,17.4,89.8
5707,2024-10-28/2024-11-03,19.4,6.9,0.0,9.8,75.4
5707,2024-11-04/2024-11-10,14.5,2.8,0.0,9.8,58.4
5707,2024-11-11/2024-11-17,13.1,0.1,0.0,11.9,68.2
5707,2024-11-18/2024-11-24,12.0,-2.2,3.2,29.3,74.0
5707,2024-11-25/2024-12-01,11.1,-0.7,3.6999999999999997,8.7,27.3
5707,2024-12-02/2024-12-08,9.7,-2.1,5.7,10.6,56.5
